"Loan","Model","RMSE","MAE","Rel_MSFE","vs_AR_pct"
"C&I","AR (BIC)",5.87003656994392,4.52867417121475,1,0
"C&I","MIDAS (Almon)",61.7255296594571,49.6713390115982,110.572731130071,-10957.2731130071
"C&I","ADL-MIDAS",6.4040789451558,5.13127120554156,1.19023232300045,-19.0232323000446
"Consumer","AR (BIC)",15.2539318590927,6.45319950007508,1,0
"Consumer","MIDAS (Almon)",22.6399486749857,17.0267557351239,2.2028619016461,-120.28619016461
"Consumer","ADL-MIDAS",37.8828849431605,27.9080075402169,6.16768927264821,-516.768927264821
